Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism	Type	Source	Synonyms
ZNF396	Zinc finger protein 396	Sus scrofa	protein	UniProtKB	
A0A5G2QB68	OCEL domain-containing protein	Sus scrofa	protein	UniProtKB	
CACNA1F	Voltage-dependent L-type calcium channel subunit alpha	Sus scrofa	protein	UniProtKB	
A0A287AQI7	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100626191	Olfactory receptor	Sus scrofa	protein	UniProtKB	
TSPAN17	Tetraspanin	Sus scrofa	protein	UniProtKB	
A0A287AQI3	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
HYAL3	Hyaluronidase-3	Sus scrofa	protein	UniProtKB	
PGK2	Phosphoglycerate kinase 2	Sus scrofa	protein	UniProtKB	
ADAM15	Disintegrin and metalloproteinase domain-containing protein 15	Sus scrofa	protein	UniProtKB	
PARP4	Poly [ADP-ribose] polymerase	Sus scrofa	protein	UniProtKB	
RAB10	Ras-related protein Rab-10	Sus scrofa	protein	UniProtKB	
LOC100156995	Olfactory receptor	Sus scrofa	protein	UniProtKB	
THBS2	Thrombospondin-2	Sus scrofa	protein	UniProtKB	
ABHD14A	AB hydrolase-1 domain-containing protein	Sus scrofa	protein	UniProtKB	
GATAD2B	GATA-type domain-containing protein	Sus scrofa	protein	UniProtKB	
HOXA10	Homeobox domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC110260322	Filaggrin	Sus scrofa	protein	UniProtKB	
SLC38A5	Aa_trans domain-containing protein	Sus scrofa	protein	UniProtKB	
DPF3	Zinc finger protein DPF3	Sus scrofa	protein	UniProtKB	
TXNRD3	thioredoxin-disulfide reductase	Sus scrofa	protein	UniProtKB	
CALCB	Calcitonin	Sus scrofa	protein	UniProtKB	
WBP2	GRAM domain-containing protein	Sus scrofa	protein	UniProtKB	
ANKRD13C	Ankyrin repeat domain 13C	Sus scrofa	protein	UniProtKB	
GCN1	TOG domain-containing protein	Sus scrofa	protein	UniProtKB	
NNT	proton-translocating NAD(P)(+) transhydrogenase	Sus scrofa	protein	UniProtKB	
POU3F3	POU domain protein	Sus scrofa	protein	UniProtKB	
NPPC	C-type natriuretic peptide	Sus scrofa	protein	UniProtKB	CNP
DOP1A	Dopey_N domain-containing protein	Sus scrofa	protein	UniProtKB	
DUSP12	protein-tyrosine-phosphatase	Sus scrofa	protein	UniProtKB	
FATE1	Fetal and adult testis-expressed transcript protein homolog	Sus scrofa	protein	UniProtKB	FATE
PPP1R9A	Neurabin-1	Sus scrofa	protein	UniProtKB	
DGKI	Diacylglycerol kinase	Sus scrofa	protein	UniProtKB	
LOC100515126	Olfactory receptor	Sus scrofa	protein	UniProtKB	
DUSP5	Dual specificity protein phosphatase	Sus scrofa	protein	UniProtKB	
MAOA	Amine oxidase [flavin-containing] A	Sus scrofa	protein	UniProtKB	
I3LQK3	40S ribosomal protein S19	Sus scrofa	protein	UniProtKB	
NDUFA12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	Sus scrofa	protein	UniProtKB	
PTPRV	protein-tyrosine-phosphatase	Sus scrofa	protein	UniProtKB	LOC100624894
C1H18orf54	Chromosome 1 C18orf54 homolog	Sus scrofa	protein	UniProtKB	C18orf54
G6PC1	Glucose-6-phosphatase	Sus scrofa	protein	UniProtKB	G6PC
NUFIP1	C2H2-type domain-containing protein	Sus scrofa	protein	UniProtKB	
PNLIPRP2	Pancreatic lipase-related protein 2	Sus scrofa	protein	UniProtKB	
LOC110259718	Olfactory receptor	Sus scrofa	protein	UniProtKB	
TGFB3	Transforming growth factor beta-3 proprotein	Sus scrofa	protein	UniProtKB	
MMP1	Interstitial collagenase	Sus scrofa	protein	UniProtKB	
EBNA1BP2	rRNA-processing protein EBP2	Sus scrofa	protein	UniProtKB	
CHD7	DNA helicase	Sus scrofa	protein	UniProtKB	
CALHM2	Calcium homeostasis modulator protein 2	Sus scrofa	protein	UniProtKB	
SUN3	SUN domain-containing protein	Sus scrofa	protein	UniProtKB	
HSD17B8	Estradiol 17-beta-dehydrogenase 8	Sus scrofa	protein	UniProtKB	
VTA1	Vesicle trafficking 1	Sus scrofa	protein	UniProtKB	
A0A5G2QAP2	MARVEL domain-containing protein	Sus scrofa	protein	UniProtKB	
PFKFB1	6PF2K domain-containing protein	Sus scrofa	protein	UniProtKB	
DPM2	Dolichol phosphate-mannose biosynthesis regulatory protein	Sus scrofa	protein	UniProtKB	
INTS11	Integrator complex subunit 11	Sus scrofa	protein	UniProtKB	
CTSO	Pept_C1 domain-containing protein	Sus scrofa	protein	UniProtKB	
YTHDC2	RNA helicase	Sus scrofa	protein	UniProtKB	
METTL13	Methyltransf_11 domain-containing protein	Sus scrofa	protein	UniProtKB	EEF1AKNMT
RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	Sus scrofa	protein	UniProtKB	
ALG3	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase	Sus scrofa	protein	UniProtKB	
TGM1	TGc domain-containing protein	Sus scrofa	protein	UniProtKB	
BMS1	Bms1-type G domain-containing protein	Sus scrofa	protein	UniProtKB	
GPR50	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
ITSN2	Intersectin-2	Sus scrofa	protein	UniProtKB	
BMP4	TGF_BETA_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
SENP3	ULP_PROTEASE domain-containing protein	Sus scrofa	protein	UniProtKB	
UBA2	SUMO-activating enzyme subunit 2	Sus scrofa	protein	UniProtKB	
CUTAL	HTH psq-type domain-containing protein	Sus scrofa	protein	UniProtKB	LOC102164650
BLVRB	NAD(P)-bd_dom domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100626157	Lipocln_cytosolic_FA-bd_dom domain-containing protein	Sus scrofa	protein	UniProtKB	
I3LQH1	Keratin-associated protein 10-12-like	Sus scrofa	protein	UniProtKB	
CASP1	Caspase-1	Sus scrofa	protein	UniProtKB	IL1BC
A0A5G2QAN6	S10_plectin domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100525165	Olfactory receptor	Sus scrofa	protein	UniProtKB	
ZMYND11	Zinc finger MYND domain-containing protein 11	Sus scrofa	protein	UniProtKB	
LOC110259732	Olfactory receptor	Sus scrofa	protein	UniProtKB	
SHFL	UPF0515 protein C19orf66 homolog	Sus scrofa	protein	UniProtKB	
IPO7	Importin N-terminal domain-containing protein	Sus scrofa	protein	UniProtKB	
OR1B1	Olfactory receptor	Sus scrofa	protein	UniProtKB	
IL23A	Interleukin-23 subunit alpha	Sus scrofa	protein	UniProtKB	SGRF
HERC4	HECT domain-containing protein	Sus scrofa	protein	UniProtKB	
OBSL1	Obscurin-like protein 1	Sus scrofa	protein	UniProtKB	
NIPAL2	NIPA-like protein 2	Sus scrofa	protein	UniProtKB	
POMC	Pro-opiomelanocortin	Sus scrofa	protein	UniProtKB	
CSNK1A1	Casein kinase I isoform alpha	Sus scrofa	protein	UniProtKB	
A0A287AQA7	Coiled-coil domain-containing protein 187	Sus scrofa	protein	UniProtKB	
DSEL	Sulfotransfer_1 domain-containing protein	Sus scrofa	protein	UniProtKB	
CPM	Carboxypeptidase M	Sus scrofa	protein	UniProtKB	
CENPW	Centromere protein W	Sus scrofa	protein	UniProtKB	
YBX3	CSD domain-containing protein	Sus scrofa	protein	UniProtKB	
TRIM6	Tripartite motif-containing protein 6	Sus scrofa	protein	UniProtKB	
IL7	Interleukin-7	Sus scrofa	protein	UniProtKB	
I3LQF2	Olfactory receptor	Sus scrofa	protein	UniProtKB	
TAX1BP1	Tax1-binding protein 1	Sus scrofa	protein	UniProtKB	
CCND3	Cyclin N-terminal domain-containing protein	Sus scrofa	protein	UniProtKB	
IL7R	Interleukin-7 receptor subunit alpha	Sus scrofa	protein	UniProtKB	
CNN3	Calponin	Sus scrofa	protein	UniProtKB	
CCN3	Cellular communication network factor 3	Sus scrofa	protein	UniProtKB	
K7GT09	SRCR domain-containing protein	Sus scrofa	protein	UniProtKB	
TAB1	PPM-type phosphatase domain-containing protein	Sus scrofa	protein	UniProtKB	
NRN1L	Neuritin-like protein	Sus scrofa	protein	UniProtKB	
CARS1	cysteine--tRNA ligase	Sus scrofa	protein	UniProtKB	
A0A5G2QAK2	Secreted protein	Sus scrofa	protein	UniProtKB	
SLA-DMA	Ig-like domain-containing protein	Sus scrofa	protein	UniProtKB	
TIPARP	TCDD-inducible poly [ADP-ribose] polymerase	Sus scrofa	protein	UniProtKB	
CAPN2	Calpain-2 catalytic subunit	Sus scrofa	protein	UniProtKB	
PIN4	Peptidyl-prolyl cis-trans isomerase	Sus scrofa	protein	UniProtKB	
SST	Somatostatin	Sus scrofa	protein	UniProtKB	
ATP6AP2	Renin receptor	Sus scrofa	protein	UniProtKB	
LOC100621657	Olfactory receptor	Sus scrofa	protein	UniProtKB	
GIN1	Integrase catalytic domain-containing protein	Sus scrofa	protein	UniProtKB	
ZNF852	Zinc finger protein 852	Sus scrofa	protein	UniProtKB	
LOC106509347	Olfactory receptor	Sus scrofa	protein	UniProtKB	
DEPDC7	DEP domain-containing protein	Sus scrofa	protein	UniProtKB	
FOSB	BZIP domain-containing protein	Sus scrofa	protein	UniProtKB	
CFAP91	Cilia- and flagella-associated protein 91	Sus scrofa	protein	UniProtKB	
SMCO2	Single-pass membrane protein with coiled-coil domains 2	Sus scrofa	protein	UniProtKB	
ZCCHC10	Zinc finger CCHC domain-containing protein 10	Sus scrofa	protein	UniProtKB	
SNX1	Sorting nexin-1	Sus scrofa	protein	UniProtKB	
RALGAPA1	Rap-GAP domain-containing protein	Sus scrofa	protein	UniProtKB	
OSBP2	Oxysterol-binding protein	Sus scrofa	protein	UniProtKB	
CADM2	Cell adhesion molecule 2	Sus scrofa	protein	UniProtKB	
MAPRE3	Microtubule-associated protein RP/EB family member 3	Sus scrofa	protein	UniProtKB	
AIRE	Autoimmune regulator	Sus scrofa	protein	UniProtKB	
HRG	Histidine-rich glycoprotein	Sus scrofa	protein	UniProtKB	
ZNF688	Zinc finger protein 688	Sus scrofa	protein	UniProtKB	
GASK1A	Protein FAM198A	Sus scrofa	protein	UniProtKB	
DIPK1C	PIP49_N domain-containing protein	Sus scrofa	protein	UniProtKB	
CCN2	CCN family member 2	Sus scrofa	protein	UniProtKB	CTGF|HBGF-0.8
FBXO40	F-box only protein 40	Sus scrofa	protein	UniProtKB	
GPR146	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
WASF1	Wiskott-Aldrich syndrome protein family member	Sus scrofa	protein	UniProtKB	
ARAF	Serine/threonine-protein kinase A-Raf	Sus scrofa	protein	UniProtKB	ARAF1
IL12RB1	Fibronectin type-III domain-containing protein	Sus scrofa	protein	UniProtKB	
SC5D	Fatty acid hydroxylase domain-containing protein	Sus scrofa	protein	UniProtKB	
SMARCA4	Transcription activator BRG1	Sus scrofa	protein	UniProtKB	
MTHFSD	Methenyltetrahydrofolate synthase domain-containing protein	Sus scrofa	protein	UniProtKB	
C5H12orf73	Chromosome 12 open reading frame 73	Sus scrofa	protein	UniProtKB	C12orf73
CHN1	Chimaerin	Sus scrofa	protein	UniProtKB	
C1orf146	Chromosome 1 open reading frame 146	Sus scrofa	protein	UniProtKB	
OSR2	OSR2 protein	Sus scrofa	protein	UniProtKB	
PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase	Sus scrofa	protein	UniProtKB	
MAPK8IP1	C-Jun-amino-terminal kinase-interacting protein 1	Sus scrofa	protein	UniProtKB	
ARMCX4	Arm_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
FCF1	PINc domain-containing protein	Sus scrofa	protein	UniProtKB	
ARC	ARC protein	Sus scrofa	protein	UniProtKB	
CYB5D2	Cytochrome b5 heme-binding domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100625357	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
EIF2S3	protein-synthesizing GTPase	Sus scrofa	protein	UniProtKB	
NUP210	BIG2 domain-containing protein	Sus scrofa	protein	UniProtKB	
CCDC24	Coiled-coil domain-containing protein 24	Sus scrofa	protein	UniProtKB	
MTIF3	Translation initiation factor IF-3, mitochondrial	Sus scrofa	protein	UniProtKB	
FANCG	Fanconi anemia group G protein	Sus scrofa	protein	UniProtKB	
FGF14	Fibroblast growth factor	Sus scrofa	protein	UniProtKB	
HDAC9	Histone deacetylase	Sus scrofa	protein	UniProtKB	
CD109	CD109 molecule	Sus scrofa	protein	UniProtKB	
CCS	Copper chaperone for superoxide dismutase	Sus scrofa	protein	UniProtKB	
WSCD1	WSC domain-containing protein 1	Sus scrofa	protein	UniProtKB	
PCDH10	Protocadherin-10	Sus scrofa	protein	UniProtKB	
GEMIN6	Gem-associated protein 6	Sus scrofa	protein	UniProtKB	
MYO18A	Myosin motor domain-containing protein	Sus scrofa	protein	UniProtKB	
PTI	BPTI/Kunitz inhibitor domain-containing protein	Sus scrofa	protein	UniProtKB	
LRP2	LDL receptor related protein 2	Sus scrofa	protein	UniProtKB	
JAG2	Delta-like protein	Sus scrofa	protein	UniProtKB	
SHLD3	Shieldin complex subunit 3	Sus scrofa	protein	UniProtKB	
SMAD7	Mothers against decapentaplegic homolog	Sus scrofa	protein	UniProtKB	
IGF1R	Tyrosine-protein kinase receptor	Sus scrofa	protein	UniProtKB	
PANK1	Pantothenate kinase 1	Sus scrofa	protein	UniProtKB	
POLH	DNA polymerase eta	Sus scrofa	protein	UniProtKB	
NELL2	Protein kinase C-binding protein NELL2	Sus scrofa	protein	UniProtKB	
LOC100157798	Olfactory receptor	Sus scrofa	protein	UniProtKB	
SH3BP5L	SH3 domain-binding protein 5	Sus scrofa	protein	UniProtKB	
HERC2	HECT-type E3 ubiquitin transferase	Sus scrofa	protein	UniProtKB	
GRIA3	Glutamate receptor	Sus scrofa	protein	UniProtKB	
MACROH2A1	Core histone macro-H2A	Sus scrofa	protein	UniProtKB	
SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3	Sus scrofa	protein	UniProtKB	
IL2	Interleukin-2	Sus scrofa	protein	UniProtKB	
ILF3	Interleukin enhancer-binding factor 3	Sus scrofa	protein	UniProtKB	
KCNH4	Potassium voltage-gated channel subfamily H member 4	Sus scrofa	protein	UniProtKB	
LOC106504191	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
FGF9	Fibroblast growth factor 9	Sus scrofa	protein	UniProtKB	
OPRM1	Mu-type opioid receptor	Sus scrofa	protein	UniProtKB	
TRNAU1AP	tRNA selenocysteine 1-associated protein 1	Sus scrofa	protein	UniProtKB	
PANK4	4'-phosphopantetheine phosphatase	Sus scrofa	protein	UniProtKB	
NUP62	Nsp1_C domain-containing protein	Sus scrofa	protein	UniProtKB	
SCML4	SAM domain-containing protein	Sus scrofa	protein	UniProtKB	
RIPK2	Receptor-interacting serine/threonine-protein kinase 2	Sus scrofa	protein	UniProtKB	
PTGFR	Prostaglandin F2-alpha receptor	Sus scrofa	protein	UniProtKB	fp
ZDHHC4	Palmitoyltransferase	Sus scrofa	protein	UniProtKB	
KCNK2	Potassium channel subfamily K member 2	Sus scrofa	protein	UniProtKB	
AGAP1	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1	Sus scrofa	protein	UniProtKB	
NLK	Mitogen-activated protein kinase	Sus scrofa	protein	UniProtKB	
TRPV5	Ion_trans domain-containing protein	Sus scrofa	protein	UniProtKB	
ADD3	Aldolase_II domain-containing protein	Sus scrofa	protein	UniProtKB	
ZFP91	E3 ubiquitin-protein ligase ZFP91	Sus scrofa	protein	UniProtKB	
MASP2	Mannan binding lectin serine peptidase 2	Sus scrofa	protein	UniProtKB	
MGAT2	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	Sus scrofa	protein	UniProtKB	GNT2
OTC	Ornithine transcarbamylase, mitochondrial	Sus scrofa	protein	UniProtKB	
KIF27	Kinesin motor domain-containing protein	Sus scrofa	protein	UniProtKB	
FBXL19	F-box/LRR-repeat protein 19	Sus scrofa	protein	UniProtKB	
DRP2	Dystrophin related protein 2	Sus scrofa	protein	UniProtKB	
HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U like 2	Sus scrofa	protein	UniProtKB	
MMP24	ZnMc domain-containing protein	Sus scrofa	protein	UniProtKB	
ATAD2	Bromo domain-containing protein	Sus scrofa	protein	UniProtKB	
SMIM24	Small integral membrane protein 24	Sus scrofa	protein	UniProtKB	
LANCL2	LanC like 2	Sus scrofa	protein	UniProtKB	
LOC110256008	KRTAP3-1	Sus scrofa	protein	UniProtKB	
RPL18A	Ribosomal_L18A domain-containing protein	Sus scrofa	protein	UniProtKB	
LRFN4	Leucine-rich repeat and fibronectin type-III domain-containing protein 4	Sus scrofa	protein	UniProtKB	
OR13G1	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
CHM	Rab proteins geranylgeranyltransferase component A	Sus scrofa	protein	UniProtKB	
WFDC1	WAP domain-containing protein	Sus scrofa	protein	UniProtKB	
BSPRY	B30.2/SPRY domain-containing protein	Sus scrofa	protein	UniProtKB	
VKORC1L1	vitamin-K-epoxide reductase (warfarin-sensitive)	Sus scrofa	protein	UniProtKB	
EXOC1	Sec3-PIP2_bind domain-containing protein	Sus scrofa	protein	UniProtKB	
NAB1	NGFI-A binding protein 1	Sus scrofa	protein	UniProtKB	
DUSP9	Dual specificity protein phosphatase	Sus scrofa	protein	UniProtKB	
ARL2	ADP-ribosylation factor-like protein 2	Sus scrofa	protein	UniProtKB	
ANTXR1	VWFA domain-containing protein	Sus scrofa	protein	UniProtKB	
GLYATL3	Glycine N-acyltransferase-like protein	Sus scrofa	protein	UniProtKB	
PSME4	Proteasome activator subunit 4	Sus scrofa	protein	UniProtKB	
AAK1	AP2-associated protein kinase 1	Sus scrofa	protein	UniProtKB	
LOC110255244	Olfactory receptor	Sus scrofa	protein	UniProtKB	
ZDHHC22	Palmitoyltransferase	Sus scrofa	protein	UniProtKB	
MVP	Major vault protein	Sus scrofa	protein	UniProtKB	
UIMC1	BRCA1-A complex subunit RAP80	Sus scrofa	protein	UniProtKB	
HAPSTR1	HUWE1-associated protein modifying stress responses	Sus scrofa	protein	UniProtKB	C16orf72|C3H16orf72
CDK16	Cyclin dependent kinase 16	Sus scrofa	protein	UniProtKB	
SELENOW	Selenoprotein W	Sus scrofa	protein	UniProtKB	SEPW
TET2	Methylcytosine dioxygenase TET	Sus scrofa	protein	UniProtKB	
ALX1	ALX homeobox protein 1	Sus scrofa	protein	UniProtKB	
ITGA10	VWFA domain-containing protein	Sus scrofa	protein	UniProtKB	
PRMT3	C2H2-type domain-containing protein	Sus scrofa	protein	UniProtKB	
TLR1	Toll-like receptor 1	Sus scrofa	protein	UniProtKB	
NFYB	Nuclear transcription factor Y subunit beta	Sus scrofa	protein	UniProtKB	
TGFBR2	TGF-beta receptor type-2	Sus scrofa	protein	UniProtKB	
UBE2R2	UBC core domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100512766	Olfactory receptor	Sus scrofa	protein	UniProtKB	
CDC25B	M-phase inducer phosphatase	Sus scrofa	protein	UniProtKB	
KERA	LRRNT domain-containing protein	Sus scrofa	protein	UniProtKB	
SPAG8	Sperm-associated antigen 8	Sus scrofa	protein	UniProtKB	
NR3C1	Glucocorticoid receptor	Sus scrofa	protein	UniProtKB	GRL
DIP2B	DMAP1-binding domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100157267	Olfactory receptor	Sus scrofa	protein	UniProtKB	
CLCN5	H(+)/Cl(-) exchange transporter 5	Sus scrofa	protein	UniProtKB	
RBFOX2	RRM domain-containing protein	Sus scrofa	protein	UniProtKB	
LOC100156611	Olfactory receptor	Sus scrofa	protein	UniProtKB	
LOC100152873	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
CSRP1	Cysteine and glycine-rich protein 1	Sus scrofa	protein	UniProtKB	
TMEM41A	Transmembrane protein 41A	Sus scrofa	protein	UniProtKB	
BMX	Tyrosine-protein kinase	Sus scrofa	protein	UniProtKB	
TTC19	Tetratricopeptide repeat protein 19, mitochondrial	Sus scrofa	protein	UniProtKB	
CEBPB	CCAAT/enhancer-binding protein	Sus scrofa	protein	UniProtKB	
MAPK9	Stress-activated protein kinase JNK	Sus scrofa	protein	UniProtKB	
ZDHHC13	Palmitoyltransferase	Sus scrofa	protein	UniProtKB	
MEF2A	MADS-box domain-containing protein	Sus scrofa	protein	UniProtKB	
DCX	Neuronal migration protein doublecortin	Sus scrofa	protein	UniProtKB	
MACIR	Macrophage immunometabolism regulator	Sus scrofa	protein	UniProtKB	
LOC106507519	C-type lectin domain-containing protein	Sus scrofa	protein	UniProtKB	
PATZ1	POZ-, AT hook-, and zinc finger-containing protein 1	Sus scrofa	protein	UniProtKB	
LOC100520273	Poly [ADP-ribose] polymerase	Sus scrofa	protein	UniProtKB	
TEAD2	TEA domain-containing protein	Sus scrofa	protein	UniProtKB	
PWP1	Periodic tryptophan protein 1 homolog	Sus scrofa	protein	UniProtKB	
CHRNA9	Neuronal acetylcholine receptor subunit alpha-9	Sus scrofa	protein	UniProtKB	
SLC16A3	MFS domain-containing protein	Sus scrofa	protein	UniProtKB	
EMG1	Ribosomal RNA small subunit methyltransferase NEP1	Sus scrofa	protein	UniProtKB	
TRIM27	RING-type E3 ubiquitin transferase	Sus scrofa	protein	UniProtKB	
CP	Ceruloplasmin	Sus scrofa	protein	UniProtKB	
PDIA5	Protein disulfide-isomerase A5	Sus scrofa	protein	UniProtKB	
A0A5G2R3V8	Uncharacterized protein	Sus scrofa	protein	UniProtKB	
THAP4	THAP-type domain-containing protein	Sus scrofa	protein	UniProtKB	
PELI2	E3 ubiquitin-protein ligase pellino homolog	Sus scrofa	protein	UniProtKB	
TMEM207	Transmembrane protein 207	Sus scrofa	protein	UniProtKB	
RBM23	Protein arginine N-methyltransferase 5	Sus scrofa	protein	UniProtKB	
RPTN	EF-hand domain-containing protein	Sus scrofa	protein	UniProtKB	
CSE1L	Exportin-2	Sus scrofa	protein	UniProtKB	
CERS5	Ceramide synthase 5	Sus scrofa	protein	UniProtKB	
A0A5G2QA77	Pecanex-like protein	Sus scrofa	protein	UniProtKB	
BCL2	Apoptosis regulator Bcl-2	Sus scrofa	protein	UniProtKB	
GUCA2B	Guanylate cyclase activator 2B	Sus scrofa	protein	UniProtKB	
TRAK2	Trafficking kinesin-binding protein 2	Sus scrofa	protein	UniProtKB	
NUDCD2	CS domain-containing protein	Sus scrofa	protein	UniProtKB	
IL6R	Interleukin-6 receptor subunit alpha	Sus scrofa	protein	UniProtKB	
ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase	Sus scrofa	protein	UniProtKB	
ELK4	ETS domain-containing protein	Sus scrofa	protein	UniProtKB	
ELP4	Elongator complex protein 4	Sus scrofa	protein	UniProtKB	
MAP3K8	Mitogen-activated protein kinase kinase kinase 8	Sus scrofa	protein	UniProtKB	
LUC7L2	RNA-binding protein Luc7-like 2	Sus scrofa	protein	UniProtKB	
CACNA1H	Voltage-dependent T-type calcium channel subunit alpha-1H	Sus scrofa	protein	UniProtKB	
HMOX2	heme oxygenase (biliverdin-producing)	Sus scrofa	protein	UniProtKB	
PPP1R26	PPP1R26_N domain-containing protein	Sus scrofa	protein	UniProtKB	
PRDM7	KRAB-related domain-containing protein	Sus scrofa	protein	UniProtKB	
BCL2L14	BCL2 like 14	Sus scrofa	protein	UniProtKB	
FN3KRP	protein-ribulosamine 3-kinase	Sus scrofa	protein	UniProtKB	
TBCD	Tubulin-specific chaperone D	Sus scrofa	protein	UniProtKB	
ITPR2	Inositol 1,4,5-trisphosphate receptor	Sus scrofa	protein	UniProtKB	
IARS2	isoleucine--tRNA ligase	Sus scrofa	protein	UniProtKB	
WBP1L	WW domain binding protein 1-like	Sus scrofa	protein	UniProtKB	
A0A5G2QA55	G_PROTEIN_RECEP_F1_2 domain-containing protein	Sus scrofa	protein	UniProtKB	
VWA3B	VWFA domain-containing protein	Sus scrofa	protein	UniProtKB	
CCDC174	Coiled-coil domain-containing protein 174	Sus scrofa	protein	UniProtKB	
METRNL	Meteorin-like protein	Sus scrofa	protein	UniProtKB	
A0A287B1H3	Olfactory receptor	Sus scrofa	protein	UniProtKB	
CHMP6	Charged multivesicular body protein 6	Sus scrofa	protein	UniProtKB	
SKOR2	c-SKI_SMAD_bind domain-containing protein	Sus scrofa	protein	UniProtKB	
IER3IP1	Immediate early response 3-interacting protein 1	Sus scrofa	protein	UniProtKB	
UCN	CRF domain-containing protein	Sus scrofa	protein	UniProtKB	
MFSD14A	MFS domain-containing protein	Sus scrofa	protein	UniProtKB	
FOXR2	Fork-head domain-containing protein	Sus scrofa	protein	UniProtKB	
TMEM70	Transmembrane protein 70, mitochondrial	Sus scrofa	protein	UniProtKB	
CC2D1A	C2 domain-containing protein	Sus scrofa	protein	UniProtKB	
DEPDC1B	DEP domain-containing protein 1B	Sus scrofa	protein	UniProtKB	
STXBP2	Syntaxin-binding protein 2	Sus scrofa	protein	UniProtKB	
UCK1	Uridine-cytidine kinase	Sus scrofa	protein	UniProtKB	
LOC110259085	Olfactory receptor	Sus scrofa	protein	UniProtKB	
ERI2	Exonuclease domain-containing protein	Sus scrofa	protein	UniProtKB	
HDHD2	Haloacid dehalogenase-like hydrolase domain-containing protein 2	Sus scrofa	protein	UniProtKB	
LOC100523275	Keratin intermediate-filament-associated protein	Sus scrofa	protein	UniProtKB	
LOC106504189	Keratin, high-sulfur matrix protein, IIIA3	Sus scrofa	protein	UniProtKB	
F1RZX5	Keratin, high-sulfur matrix protein, IIIA3	Sus scrofa	protein	UniProtKB	
SLK	non-specific serine/threonine protein kinase	Sus scrofa	protein	UniProtKB	
GLG1	Golgi apparatus protein 1	Sus scrofa	protein	UniProtKB	
SCN11A	Sodium channel protein	Sus scrofa	protein	UniProtKB	
WDR13	WD repeat-containing protein 13	Sus scrofa	protein	UniProtKB	
SLC39A7	Solute carrier family 39 member 7	Sus scrofa	protein	UniProtKB	
HMGCLL1	hydroxymethylglutaryl-CoA lyase	Sus scrofa	protein	UniProtKB	
GBX1	Homeobox domain-containing protein	Sus scrofa	protein	UniProtKB	
FAM83B	FAM83 domain-containing protein	Sus scrofa	protein	UniProtKB	
INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	Sus scrofa	protein	UniProtKB	SHIP2
MAOB	Amine oxidase	Sus scrofa	protein	UniProtKB	
TRMT10A	tRNA methyltransferase 10 homolog A	Sus scrofa	protein	UniProtKB	
LOC100624149	protein-synthesizing GTPase	Sus scrofa	protein	UniProtKB	
LRRC1	Leucine rich repeat containing 1	Sus scrofa	protein	UniProtKB	
KLHL31	BTB domain-containing protein	Sus scrofa	protein	UniProtKB	
AK4	Adenylate kinase 4, mitochondrial	Sus scrofa	protein	UniProtKB	AK3L1
SLC15A2	Solute carrier family 15 member 2	Sus scrofa	protein	UniProtKB	
RRP1	Ribosomal RNA processing protein 1 homolog A	Sus scrofa	protein	UniProtKB	
CENPH	CENP-H domain-containing protein	Sus scrofa	protein	UniProtKB	
A0A5G2QA15	Interferon-induced transmembrane protein 3	Sus scrofa	protein	UniProtKB	
RNF34	RING-type domain-containing protein	Sus scrofa	protein	UniProtKB	
WT1	Wilms tumor protein homolog	Sus scrofa	protein	UniProtKB	
SOST	Sclerostin	Sus scrofa	protein	UniProtKB	
PIGP	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P	Sus scrofa	protein	UniProtKB	
