Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism	Type	Source	Synonyms
URS000196A98B_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00005027653.1)	Sus scrofa	snRNA	RNAcentral	
URS0000A81257_9823	Sus scrofa (pig) Small nucleolar RNA SNORD36 (ENSSSCG00070011791.1)	Sus scrofa	snoRNA	RNAcentral	
URS0000AB0E7E_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00070008433.1)	Sus scrofa	snRNA	RNAcentral	
URS000195F9E7_9823	Sus scrofa (pig) Nuclear RNase P (ENSSSCG00040046147.1, ENSSSCG00050064325.1)	Sus scrofa	RNase_P_RNA	RNAcentral	
URS000196204F_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00005030115.1)	Sus scrofa	snRNA	RNAcentral	
URS0000AAAF17_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00070001448.1)	Sus scrofa	snRNA	RNAcentral	
URS000194E2FB_9823	Sus scrofa (pig) U1 spliceosomal RNA (ENSSSCG00005023926.1, ENSSSCG00015038177.1)	Sus scrofa	snRNA	RNAcentral	
URS000197B80A_9823	Sus scrofa (pig) snoRNA (ENSSSCG00025045882.1)	Sus scrofa	snoRNA	RNAcentral	
URS00006599BA_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS0000EEF44C_9823	Sus scrofa (pig) lncRNA (ENSSSCG00070011651.1)	Sus scrofa	gene_product	RNAcentral	
URS0000A859CE_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00025022055.1, ENSSSCG00035022112.1)	Sus scrofa	snRNA	RNAcentral	
URS0000EF4DFF_9823	Sus scrofa (pig) snRNA (ENSSSCG00070008861.1)	Sus scrofa	ncRNA	RNAcentral	
URS000197151A_9823	Sus scrofa (pig) lncRNA (ENSSSCG00000041282.1)	Sus scrofa	gene_product	RNAcentral	
URS0000208420_9823	Sus scrofa (pig) tRNA-Ile	Sus scrofa	tRNA	RNAcentral	
URS00025E99CA_9823	Sus scrofa (pig) lncRNA (ENSSSCG00000052931.1)	Sus scrofa	tRNA	RNAcentral	
URS0000EEFF5F_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS00006808F7_9823	Sus scrofa (pig) small nucleolar RNA, H/ACA box 29 (multiple genes)	Sus scrofa	snoRNA	RNAcentral	
URS000075C350_9823	Sus scrofa (pig) microRNA ssc-mir-199a precursor (ssc-mir-199a-1)	Sus scrofa	gene_product	RNAcentral	
URS0000A993A4_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS000196205B_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00040014583.1)	Sus scrofa	snRNA	RNAcentral	
URS0000A810E1_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS00025F720F_9823	Sus scrofa (pig) lncRNA (ENSSSCG00000052076.1)	Sus scrofa	gene_product	RNAcentral	
URS0000BD03E2_9823	Sus scrofa (pig) snoRNA (ENSSSCG00000039281.1)	Sus scrofa	snoRNA	RNAcentral	
URS00006C4C20_9823	Sus scrofa (pig) sRNA (ENSSSCG00070028153.1)	Sus scrofa	gene_product	RNAcentral	
URS000195FF49_9823	Sus scrofa (pig) lncRNA (ENSSSCG00015041889.1)	Sus scrofa	gene_product	RNAcentral	
URS00025F49A9_9823	Sus scrofa (pig) lncRNA (ENSSSCG00000062485.1)	Sus scrofa	gene_product	RNAcentral	
URS00006BC746_9823	Sus scrofa (pig) microRNA 652 (multiple genes)	Sus scrofa	gene_product	RNAcentral	
URS0001970812_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00045031551.1)	Sus scrofa	snRNA	RNAcentral	
URS0000EEE53C_9823	Sus scrofa (pig) lncRNA (ENSSSCG00070022916.1)	Sus scrofa	gene_product	RNAcentral	
URS000196B378_9823	Sus scrofa (pig) U5 spliceosomal RNA (ENSSSCG00060078121.1)	Sus scrofa	snRNA	RNAcentral	
URS000195608D_9823	Sus scrofa (pig) snoRNA (ENSSSCG00040039403.1)	Sus scrofa	snoRNA	RNAcentral	
URS0000BDA202_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS0000AA553C_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS0000BE06D3_9823	Sus scrofa (pig) small nucleolar RNA, C/D box 38A (multiple genes)	Sus scrofa	snoRNA	RNAcentral	
URS0000BCDF15_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00000032524.1)	Sus scrofa	snRNA	RNAcentral	
URS000195E5D2_9823	Sus scrofa (pig) lncRNA (ENSSSCG00045026655.1)	Sus scrofa	gene_product	RNAcentral	
URS0000709F17_9823	Sus scrofa (pig) small nucleolar RNA, C/D box 50B (multiple genes)	Sus scrofa	snoRNA	RNAcentral	
URS000075AD7A_9823	Sus scrofa (pig) microRNA ssc-mir-23a precursor	Sus scrofa	gene_product	RNAcentral	
URS000194EC62_9823	Sus scrofa (pig) snoRNA (ENSSSCG00025025232.1, ENSSSCG00030067248.1)	Sus scrofa	snoRNA	RNAcentral	
URS0000BCAE2A_9823	Sus scrofa (pig) snoRNA (ENSSSCG00000018972.2, ENSSSCG00005038565.1, ENSSSCG00015074709.1)	Sus scrofa	snoRNA	RNAcentral	
URS000196F6E9_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00015005972.1)	Sus scrofa	snRNA	RNAcentral	
URS000195C366_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00030023778.1)	Sus scrofa	snRNA	RNAcentral	
URS000196E32C_9823	Sus scrofa (pig) lncRNA (ENSSSCG00000049343.1)	Sus scrofa	gene_product	RNAcentral	
URS0000C51F32_9823	Sus scrofa (pig) U2 spliceosomal RNA (ENSSSCG00000045473.1, ENSSSCG00025041446.1, ENSSSCG00035049546.1, ENSSSCG00045006250.1)	Sus scrofa	snRNA	RNAcentral	
URS0001950AA2_9823	Sus scrofa (pig) lncRNA (ENSSSCG00060048970.1)	Sus scrofa	gene_product	RNAcentral	
URS0001979C8B_9823	Sus scrofa (pig) lncRNA (ENSSSCG00055024826.1)	Sus scrofa	gene_product	RNAcentral	
URS0001955D54_9823	Sus scrofa (pig) snoRNA (ENSSSCG00040052504.1)	Sus scrofa	snoRNA	RNAcentral	
URS00002C6F2B_9823	Sus scrofa (pig) tRNA (ENSSSCG00000018088.1, ENSSSCG00070030648.1)	Sus scrofa	tRNA	RNAcentral	
URS000197C6BC_9823	Sus scrofa (pig) U1 spliceosomal RNA (ENSSSCG00015056197.1)	Sus scrofa	snRNA	RNAcentral	
URS000195E1B3_9823	Sus scrofa (pig) snoRNA (multiple genes)	Sus scrofa	snoRNA	RNAcentral	
URS000075D9EB_9823	Sus scrofa (pig) microRNA ssc-mir-542 precursor	Sus scrofa	gene_product	RNAcentral	
URS000194BA6C_9823	Sus scrofa (pig) lncRNA (ENSSSCG00060027677.1)	Sus scrofa	gene_product	RNAcentral	
URS0000EEB109_9823	Sus scrofa (pig) lncRNA (ENSSSCG00070021229.1)	Sus scrofa	gene_product	RNAcentral	
URS0000A9CFE9_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS0000A97DB4_9823	Sus scrofa (pig) 5S ribosomal RNA (ENSSSCG00070024609.1)	Sus scrofa	rRNA	RNAcentral	
URS000194B47D_9823	Sus scrofa (pig) U2 spliceosomal RNA (ENSSSCG00060036744.1)	Sus scrofa	snRNA	RNAcentral	
URS0000A78CF8_9823	Sus scrofa (pig) snoRNA (multiple genes)	Sus scrofa	snoRNA	RNAcentral	
URS00025E946F_9823	Sus scrofa (pig) lncRNA (ENSSSCG00000063471.1)	Sus scrofa	rRNA	RNAcentral	
URS0000A9F18F_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS0001958FB8_9823	Sus scrofa (pig) U6 spliceosomal RNA (ENSSSCG00035064880.1, ENSSSCG00065031543.1)	Sus scrofa	snRNA	RNAcentral	
URS000196D04F_9823	Sus scrofa (pig) lncRNA (ENSSSCG00035009803.1)	Sus scrofa	gene_product	RNAcentral	
URS0000AA5666_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
URS0000A83FBF_9823	Sus scrofa (pig) U6 spliceosomal RNA (multiple genes)	Sus scrofa	snRNA	RNAcentral	
