Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism (taxon_label)	Type	Source	Synonyms
Gm12951	predicted gene 12951	Mus musculus	lncRNA_gene	MGI	
Gm13043	predicted gene 13043	Mus musculus	protein_coding_gene	MGI	
C130068B02Rik	RIKEN cDNA C130068B02 gene	Mus musculus	lncRNA_gene	MGI	
C430019N01Rik	RIKEN cDNA C430019N01 gene	Mus musculus	lncRNA_gene	MGI	
C130057G02Rik	RIKEN cDNA C130057G02 gene	Mus musculus	lncRNA_gene	MGI	
B430316J06Rik	RIKEN cDNA B430316J06 gene	Mus musculus	lncRNA_gene	MGI	
D630004N19Rik	RIKEN cDNA D630004N19 gene	Mus musculus	lncRNA_gene	MGI	
A230054M22Rik	RIKEN cDNA A230054M22 gene	Mus musculus	lncRNA_gene	MGI	
E430022E14Rik	RIKEN cDNA E430022E14 gene	Mus musculus	lncRNA_gene	MGI	
Aadacl2fm1	AADACL2 family member 1	Mus musculus	protein_coding_gene	MGI	C130079G13Rik
C130076G22Rik	RIKEN cDNA C130076G22 gene	Mus musculus	lncRNA_gene	MGI	
Lemd3	LEM domain containing 3	Mus musculus	protein_coding_gene	MGI	Man1
Tek	TEK receptor tyrosine kinase	Mus musculus	protein_coding_gene	MGI	Cd202b|Hyk|tie-2|Tie2
Tef	thyrotroph embryonic factor	Mus musculus	protein_coding_gene	MGI	2310028D20Rik
Tec	tec protein tyrosine kinase	Mus musculus	protein_coding_gene	MGI	
Sry	sex determining region of Chr Y	Mus musculus	protein_coding_gene	MGI	Tdf|Tdy
C130063K03Rik	RIKEN cDNA C130063K03 gene	Mus musculus	lncRNA_gene	MGI	
C130013N14Rik	RIKEN cDNA C130013N14 gene	Mus musculus	lncRNA_gene	MGI	
C030004N09Rik	RIKEN cDNA C030004N09 gene	Mus musculus	lncRNA_gene	MGI	
C030010F05Rik	RIKEN cDNA C030010F05 gene	Mus musculus	lncRNA_gene	MGI	
B230308H17Rik	RIKEN cDNA B230308H17 gene	Mus musculus	lncRNA_gene	MGI	
A130014A01Rik	RIKEN cDNA A130014A01 gene	Mus musculus	lncRNA_gene	MGI	
B230114P17Rik	RIKEN cDNA B230114P17 gene	Mus musculus	lncRNA_gene	MGI	
Vti1a	vesicle transport through interaction with t-SNAREs 1A	Mus musculus	protein_coding_gene	MGI	1110014F16Rik|1110018K19Rik|4921537J05Rik|Vti1-rp2
Dntt	deoxynucleotidyltransferase, terminal	Mus musculus	protein_coding_gene	MGI	Tdt
Tdgf1	teratocarcinoma-derived growth factor 1	Mus musculus	protein_coding_gene	MGI	CR1|cripto
Tslp	thymic stromal lymphopoietin	Mus musculus	protein_coding_gene	MGI	
Clasrp	CLK4-associating serine/arginine rich protein	Mus musculus	protein_coding_gene	MGI	Sfrs16|Srsf16|SWAP2
Isg15	ISG15 ubiquitin-like modifier	Mus musculus	protein_coding_gene	MGI	G1p2
Nap1l1	nucleosome assembly protein 1-like 1	Mus musculus	protein_coding_gene	MGI	D10Ertd68e
Nono	non-POU-domain-containing, octamer binding protein	Mus musculus	protein_coding_gene	MGI	P54NRB
Map3k6	mitogen-activated protein kinase kinase kinase 6	Mus musculus	protein_coding_gene	MGI	Ask2|MAPKKK6|MEKK6
Snrpa	small nuclear ribonucleoprotein polypeptide A	Mus musculus	protein_coding_gene	MGI	C430021M15Rik|Rnu1a1|U1A|U1 snRNP
E330037G11Rik	RIKEN cDNA E330037G11 gene	Mus musculus	lncRNA_gene	MGI	
A930009L07Rik	RIKEN cDNA A930009L07 gene	Mus musculus	lncRNA_gene	MGI	
Ces1f	carboxylesterase 1F	Mus musculus	protein_coding_gene	MGI	CesML1|TGH-2
2900046D03Rik	RIKEN cDNA 2900046D03 gene	Mus musculus	lncRNA_gene	MGI	
Foxo6os	forkhead box O6, opposite strand	Mus musculus	gene_product	MGI	4732418A04Rik
9330184L24Rik	RIKEN cDNA 9330184L24 gene	Mus musculus	lncRNA_gene	MGI	
Pax6os1	paired box 6 opposite strand 1	Mus musculus	gene_product	MGI	4831410G09Rik
A730009L09Rik	RIKEN cDNA A730009L09 gene	Mus musculus	protein_coding_gene	MGI	Gm45318
A630028G03Rik	RIKEN cDNA A630028G03 gene	Mus musculus	lncRNA_gene	MGI	
C530045E16Rik	RIKEN cDNA C530045E16 gene	Mus musculus	lncRNA_gene	MGI	
Hpcal1	hippocalcin-like 1	Mus musculus	protein_coding_gene	MGI	neural visinin-like 3|Nvp3|VILIP3|visinin like 3|Vnsl3
Vti1b	vesicle transport through interaction with t-SNAREs 1B	Mus musculus	protein_coding_gene	MGI	Vti1-rp1
Alkbh1	alkB homolog 1, histone H2A dioxygenase	Mus musculus	protein_coding_gene	MGI	alkB|Alkbh|Nrp
Phf1	PHD finger protein 1	Mus musculus	protein_coding_gene	MGI	D17Ertd455e|mPcl1|PHF2|Tctex3|Tctex-3
Dynlt1b	dynein light chain Tctex-type 1B	Mus musculus	protein_coding_gene	MGI	Dynlt1|Tctex1|Tctex-1
Dynlt2a1	dynein light chain Tctex-type 2A1	Mus musculus	protein_coding_gene	MGI	D17Leh117c|Tctex-4|Tcte-3|Tctex-2|Tctex2|LC2|Tctex4|Dynlt2|Tcte3
Tcte2	t-complex-associated testis expressed 2	Mus musculus	protein_coding_gene	MGI	Tcte-2
Tcte1	t-complex-associated testis expressed 1	Mus musculus	protein_coding_gene	MGI	D17Sil1|Tcte-1
A330106F07Rik	RIKEN cDNA A330106F07 gene	Mus musculus	lncRNA_gene	MGI	
E130104P22Rik	RIKEN cDNA E130104P22 gene	Mus musculus	lncRNA_gene	MGI	
E030016H06Rik	RIKEN cDNA E030016H06 gene	Mus musculus	lncRNA_gene	MGI	
Esp23	exocrine gland secreted peptide 23	Mus musculus	protein_coding_gene	MGI	Gm20581
Esp4	exocrine gland secreted peptide 4	Mus musculus	protein_coding_gene	MGI	Gm20580
Esp18	exocrine gland secreted peptide 18	Mus musculus	protein_coding_gene	MGI	Gm20579
Slco2a1	solute carrier organic anion transporter family, member 2a1	Mus musculus	protein_coding_gene	MGI	2310021C19Rik|mPgt|Pgt|Slc21a2
E230032D23Rik	RIKEN cDNA E230032D23 gene	Mus musculus	lncRNA_gene	MGI	
E330016L19Rik	RIKEN cDNA E330016L19 gene	Mus musculus	lncRNA_gene	MGI	Gm3677
4930417H01Rik	RIKEN cDNA 4930417H01 gene	Mus musculus	lncRNA_gene	MGI	
Trgv7	T cell receptor gamma, variable 7	Mus musculus	gene_segment	MGI	Tcrg-V7
Trgv6	T cell receptor gamma, variable 6	Mus musculus	gene_segment	MGI	Tcrg-V6
Trgv5	T cell receptor gamma, variable 5	Mus musculus	gene_segment	MGI	Tcrg-V5
Tsnax	translin-associated factor X	Mus musculus	protein_coding_gene	MGI	Trax
Lekr1	leucine, glutamate and lysine rich 1	Mus musculus	protein_coding_gene	MGI	EG546798|Gm6534
Trgv1	T cell receptor gamma, variable 1	Mus musculus	gene_segment	MGI	Gm16602|Tcrg-V1
Pet117	PET117 homolog	Mus musculus	protein_coding_gene	MGI	Gm20571
Zdhhc7	zinc finger, DHHC domain containing 7	Mus musculus	protein_coding_gene	MGI	
Gm3225	predicted gene 3225	Mus musculus	lncRNA_gene	MGI	
Gm3227	predicted gene 3227	Mus musculus	lncRNA_gene	MGI	
Trgc4	T cell receptor gamma, constant 4	Mus musculus	gene_segment	MGI	Tcrg-C4
Trgc3	T cell receptor gamma, constant 3	Mus musculus	gene_segment	MGI	Gm17356|Tcrg-C3
Trgc2	T cell receptor gamma, constant 2	Mus musculus	gene_segment	MGI	Gm16603|Tcrg-C2
Trgc1	T cell receptor gamma, constant 1	Mus musculus	gene_segment	MGI	Cgamma1|Gm17004|Tcrg-C1
Tcrg	T cell receptor gamma chain	Mus musculus	biological region	MGI	
Tcrd-V7	T cell receptor delta, variable 7	Mus musculus	gene_segment	MGI	
Tcrd-V6	T cell receptor delta, variable 6	Mus musculus	gene_segment	MGI	
Tcrd-V5T	T cell receptor delta, variable 5T	Mus musculus	gene_segment	MGI	
Edar	ectodysplasin-A receptor	Mus musculus	protein_coding_gene	MGI	
A730070K21Rik	RIKEN cDNA A730070K21 gene	Mus musculus	lncRNA_gene	MGI	
Prmt9	protein arginine methyltransferase 9	Mus musculus	protein_coding_gene	MGI	Prmt10
Akip1	A kinase (PRKA) interacting protein 1	Mus musculus	protein_coding_gene	MGI	BCA3|D7H11orf17|D930014E17Rik|ICRFP703B1614Q5.6|ICRFP703N2430Q5.6|ORF27
Zmiz1os1	Zmiz1 opposite strand 1	Mus musculus	gene_product	MGI	D930049A15Rik|Zmiz1as1
Tcrd-V5	T cell receptor delta, variable 5	Mus musculus	gene_segment	MGI	
Tcrd-V4	T cell receptor delta, variable 4	Mus musculus	gene_segment	MGI	
Tcrd-V3	T cell receptor delta, variable 3	Mus musculus	gene_segment	MGI	
Tcrd-V2	T cell receptor delta, variable 2	Mus musculus	gene_segment	MGI	
Tcrd-V1	T cell receptor delta, variable 1	Mus musculus	gene_segment	MGI	
Trdc	T cell receptor delta, constant region	Mus musculus	gene_segment	MGI	Tcrd-C
Tcrd	T cell receptor delta chain	Mus musculus	biological region	MGI	Tcrdelta|Tcr delta
Trbv17	T cell receptor beta, variable 17	Mus musculus	gene_segment	MGI	Gm16779|Tcrb-V9
Commd8	COMM domain containing 8	Mus musculus	protein_coding_gene	MGI	D5Buc26e|IMAGE:1958590
Ndufb4c	NADH:ubiquinone oxidoreductase subunit B4C	Mus musculus	protein_coding_gene	MGI	Gm3244
Gm13012	predicted gene 13012	Mus musculus	lncRNA_gene	MGI	
Gm3247	predicted gene 3247	Mus musculus	gene	MGI	
Gm3250	predicted gene 3250	Mus musculus	protein_coding_gene	MGI	
Trbv13-1	T cell receptor beta, variable 13-1	Mus musculus	gene_segment	MGI	Tcrb-V8.3
Trbv13-2	T cell receptor beta, variable 13-2	Mus musculus	gene_segment	MGI	Tcrb-V8.2
Trbv13-3	T cell receptor beta, variable 13-3	Mus musculus	gene_segment	MGI	Gm16777|Tcrb-V8.1
Trbv29	T cell receptor beta, variable 29	Mus musculus	pseudogene	MGI	Vbeta7|Gm16649|Tcrb-V7
Trbv19	T cell receptor beta, variable 19	Mus musculus	gene_segment	MGI	Gm16780|Tcrb-V6
Trbv12-1	T cell receptor beta, variable 12-1	Mus musculus	gene_segment	MGI	Gm16753|Tcrb-V5.2
Trbv12-2	T cell receptor beta, variable 12-2	Mus musculus	gene_segment	MGI	Tcrb-V5.1
Gm10592	predicted gene 10592	Mus musculus	protein_coding_gene	MGI	
Alg11	asparagine-linked glycosylation 11 (alpha-1,2-mannosyltransferase)	Mus musculus	protein_coding_gene	MGI	
Gm3255	predicted gene 3255	Mus musculus	lncRNA_gene	MGI	
A730015C16Rik	RIKEN cDNA A730015C16 gene	Mus musculus	lncRNA_gene	MGI	
Rorb	RAR-related orphan receptor beta	Mus musculus	protein_coding_gene	MGI	hstp|Nr1f2|Rorbeta|RZR-beta
Bub3	BUB3 mitotic checkpoint protein	Mus musculus	protein_coding_gene	MGI	
Ecel1	endothelin converting enzyme-like 1	Mus musculus	protein_coding_gene	MGI	DINE|XCE
Peds1	plasmanylethanolamine desaturase 1	Mus musculus	protein_coding_gene	MGI	Tmem189
C230098O21Rik	RIKEN cDNA C230098O21 gene	Mus musculus	lncRNA_gene	MGI	
Vmn1r196	vomeronasal 1 receptor 196	Mus musculus	protein_coding_gene	MGI	V1rh19
BC040756	cDNA sequence BC040756	Mus musculus	lncRNA_gene	MGI	
Gm3269	predicted gene 3269	Mus musculus	protein_coding_gene	MGI	
Mettl25	methyltransferase like 25	Mus musculus	protein_coding_gene	MGI	BC067068
Tas2r105	taste receptor, type 2, member 105	Mus musculus	protein_coding_gene	MGI	mGR05|mt2r5|T2R05|T2r5|T2R9|Tas2r5
Cdkl4	cyclin-dependent kinase-like 4	Mus musculus	protein_coding_gene	MGI	LOC381113
Zscan4-ps1	zinc finger and SCAN domain containing 4, pseudogene 1	Mus musculus	pseudogene	MGI	EG545912
Ccl27a	chemokine (C-C motif) ligand 27A	Mus musculus	protein_coding_gene	MGI	ALP|Ccl27|CTACK|CTAK|ESkine|ILC|mILC|PESKY|Scya27|Scya27a|skinskine
Pp2d1	protein phosphatase 2C-like domain containing 1	Mus musculus	protein_coding_gene	MGI	4921523A10Rik
Snx25	sorting nexin 25	Mus musculus	protein_coding_gene	MGI	LOC382008|SBBI31
Tas2r104	taste receptor, type 2, member 104	Mus musculus	protein_coding_gene	MGI	mGR04|mt2r45|T2R04|Tas2r4
Mir1839	microRNA 1839	Mus musculus	miRNA_gene	MGI	mmu-mir-1839
E230013L22Rik	RIKEN cDNA E230013L22 gene	Mus musculus	lncRNA_gene	MGI	
Gm3285	predicted gene 3285	Mus musculus	protein_coding_gene	MGI	
Gm3286	predicted gene 3286	Mus musculus	protein_coding_gene	MGI	
Gm3287	predicted gene 3287	Mus musculus	lncRNA_gene	MGI	Gm3291|Gm3296
Slc5a5	solute carrier family 5 (sodium iodide symporter), member 5	Mus musculus	protein_coding_gene	MGI	NIS
Gm3776	Glutathione S-transferase	Mus musculus	protein	UniProtKB	UniProtKB:Q6P8Q0|PTN002611824
Gm3435	predicted gene 3435	Mus musculus	protein_coding_gene	MGI	
Eid2	EP300 interacting inhibitor of differentiation 2	Mus musculus	protein_coding_gene	MGI	Cri2|EID-2
Grip2	glutamate receptor interacting protein 2	Mus musculus	protein_coding_gene	MGI	
Tas2r102	taste receptor, type 2, member 102	Mus musculus	protein_coding_gene	MGI	mGR02|mt2r51|STC 9-7|Tas2r2
Ighv5-12-4	immunoglobulin heavy variable 5-12-4	Mus musculus	gene_segment	MGI	
Gm3294	predicted gene 3294	Mus musculus	lncRNA_gene	MGI	
A430073D23Rik	RIKEN cDNA A430073D23 gene	Mus musculus	lncRNA_gene	MGI	
Clul1	Clusterin-like protein 1	Mus musculus	protein	UniProtKB	UniProtKB:Q3ZRW6|PTN001659143
Vav3	vav 3 oncogene	Mus musculus	protein_coding_gene	MGI	A530094I06Rik|Idd18.1
AF067061	cDNA sequence AF067061	Mus musculus	protein_coding_gene	MGI	clone L8 variable group of 2-cell-stage gene family|clone L4 variable group of 2-cell-stage gene family
Plekha8	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8	Mus musculus	protein_coding_gene	MGI	FAPP2
Nox3	NADPH oxidase 3	Mus musculus	protein_coding_gene	MGI	het|nmf250
Rtl10	retrotransposon Gag like 10	Mus musculus	protein_coding_gene	MGI	Gm16314
Trav3d-2	T cell receptor alpha variable 3D-2	Mus musculus	gene_segment	MGI	
Gm10868	predicted gene 10868	Mus musculus	gene	MGI	
Chrm4	cholinergic receptor, muscarinic 4	Mus musculus	protein_coding_gene	MGI	Chrm-4|muscarinic acetylcholine receptor 4
Chrm3	cholinergic receptor, muscarinic 3, cardiac	Mus musculus	protein_coding_gene	MGI	Chrm-3|M3R|muscarinic acetylcholine receptor 3
Chrm2	cholinergic receptor, muscarinic 2, cardiac	Mus musculus	protein_coding_gene	MGI	AChR M2|Chrm-2|M2|muscarinic acetylcholine receptor 2
Chrm1	cholinergic receptor, muscarinic 1, CNS	Mus musculus	protein_coding_gene	MGI	AW495047|Chrm-1|M1|M1R|muscarinic acetylcholine receptor 1
Chgb	chromogranin B	Mus musculus	protein_coding_gene	MGI	Scg-1|secretogranin  I
Chga	chromogranin A	Mus musculus	protein_coding_gene	MGI	ChrA
Chd1	chromodomain helicase DNA binding protein 1	Mus musculus	protein_coding_gene	MGI	4930525N21Rik
Chat	choline acetyltransferase	Mus musculus	protein_coding_gene	MGI	B230380D24Rik
Cga	glycoprotein hormones, alpha subunit	Mus musculus	protein_coding_gene	MGI	aGSU|alphaGSU|alpha-GSU|alphaSU|GPHalpha|Tsha
Cftr	cystic fibrosis transmembrane conductance regulator	Mus musculus	protein_coding_gene	MGI	Abcc7
Cfh	complement component factor h	Mus musculus	protein_coding_gene	MGI	Mud-1|Sas1|Sas-1
F9	coagulation factor IX	Mus musculus	protein_coding_gene	MGI	Cf9|Cf-9
F8	coagulation factor VIII	Mus musculus	protein_coding_gene	MGI	Cf8|Cf-8|Factor VIII|FVIII
F5	coagulation factor V	Mus musculus	protein_coding_gene	MGI	Cf5|Cf-5
F3	coagulation factor III	Mus musculus	protein_coding_gene	MGI	CD142|Cf3|Cf-3|TF|tissue factor
F2	coagulation factor II	Mus musculus	protein_coding_gene	MGI	Cf2|Cf-2|FII|prothrombin|thrombin
Helb	helicase (DNA) B	Mus musculus	protein_coding_gene	MGI	D10Ertd664e
Urb2	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)	Mus musculus	protein_coding_gene	MGI	
Chsy1	chondroitin sulfate synthase 1	Mus musculus	protein_coding_gene	MGI	skt
F13b	coagulation factor XIII, beta subunit	Mus musculus	protein_coding_gene	MGI	Cf13b|Cf-13b
Ces1g	carboxylesterase 1G	Mus musculus	protein_coding_gene	MGI	Ces1|Ces-1|Ses-1
Cenpb	centromere protein B	Mus musculus	protein_coding_gene	MGI	
Cenpa	centromere protein A	Mus musculus	protein_coding_gene	MGI	Cenp-A|centrosomin A
Cel	carboxyl ester lipase	Mus musculus	protein_coding_gene	MGI	1810036E18Rik|BAL
Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	Mus musculus	protein_coding_gene	MGI	C/EBPbeta|C/EBP BETA|CRP2|IL-6DBP|LAP|LIP|Nfil6|NF-IL6|NF-M
Dner	delta/notch-like EGF repeat containing	Mus musculus	protein_coding_gene	MGI	A930026D19Rik|BET
Fbxl5	F-box and leucine-rich repeat protein 5	Mus musculus	protein_coding_gene	MGI	Fbl4|Fir4
BC055324	cDNA sequence BC055324	Mus musculus	protein_coding_gene	MGI	
Cdx4	caudal type homeobox 4	Mus musculus	protein_coding_gene	MGI	Cdx3|Cdx-3|Cdx-4
Cdx2	caudal type homeobox 2	Mus musculus	protein_coding_gene	MGI	Cdx-2
Cdx1	caudal type homeobox 1	Mus musculus	protein_coding_gene	MGI	Cdx|Cdx-1
Cyp3a16	cytochrome P450, family 3, subfamily a, polypeptide 16	Mus musculus	protein_coding_gene	MGI	
Etfb	electron transferring flavoprotein, beta polypeptide	Mus musculus	protein_coding_gene	MGI	0610009I16Rik|2810441H06Rik
Il17c	interleukin 17C	Mus musculus	protein_coding_gene	MGI	IL-17C
Naca	nascent polypeptide-associated complex alpha polypeptide	Mus musculus	protein_coding_gene	MGI	LOC380777|skNAC
Gtpbp6	GTP binding protein 6 (putative)	Mus musculus	protein_coding_gene	MGI	Pgbpll|pgpl
Suclg2	succinate-Coenzyme A ligase, GDP-forming, beta subunit	Mus musculus	protein_coding_gene	MGI	D6Wsu120e
Etfa	electron transferring flavoprotein, alpha polypeptide	Mus musculus	protein_coding_gene	MGI	2010200I21Rik|D9Ertd394e
Cyp7a1	cytochrome P450, family 7, subfamily a, polypeptide 1	Mus musculus	protein_coding_gene	MGI	cholesterol 7 alpha hydroxylase
Siglecf	sialic acid binding Ig-like lectin F	Mus musculus	protein_coding_gene	MGI	mSiglec-F|Siglec5
Apbb1ip	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	Mus musculus	protein_coding_gene	MGI	9930118P07Rik|proline-rich protein 48|Prp48
Cdk4	cyclin-dependent kinase 4	Mus musculus	protein_coding_gene	MGI	Crk3|p34<PSK-J3>/cdk4
Cdh3	cadherin 3	Mus musculus	protein_coding_gene	MGI	Cadp|Pcad|P-cadherin
Cdh2	cadherin 2	Mus musculus	protein_coding_gene	MGI	Ncad|N-CAD|N-cadherin
Cdh1	cadherin 1	Mus musculus	protein_coding_gene	MGI	Ecad|E-cad|E-cadherin|L-CAM|UM|uvomorulin
Cdk11b	cyclin-dependent kinase 11B	Mus musculus	protein_coding_gene	MGI	Cdc2l1|Cdc2l2|CDK11-p110|CDK11-p46|CDK11-p58|PITSLRE proteins
Cdk1	cyclin-dependent kinase 1	Mus musculus	protein_coding_gene	MGI	Cdc2|Cdc2a|p34<CDC2>
Cdc25c	cell division cycle 25C	Mus musculus	protein_coding_gene	MGI	Cdc25
Cyp2c38	cytochrome P450, family 2, subfamily c, polypeptide 38	Mus musculus	protein_coding_gene	MGI	
Cyp2c39	cytochrome P450, family 2, subfamily c, polypeptide 39	Mus musculus	protein_coding_gene	MGI	
H60a	histocompatibility 60a	Mus musculus	protein_coding_gene	MGI	
Cyp2c40	cytochrome P450, family 2, subfamily c, polypeptide 40	Mus musculus	protein_coding_gene	MGI	
Mypop	Myb-related transcription factor, partner of profilin	Mus musculus	protein_coding_gene	MGI	Myodysa|P42pop
Zfp239	zinc finger protein 239	Mus musculus	protein_coding_gene	MGI	Mok2|Mok-2
Gm10523	predicted gene 10523	Mus musculus	lncRNA_gene	MGI	
Cd9	CD9 antigen	Mus musculus	protein_coding_gene	MGI	Tspan29
Cd8b1	CD8 antigen, beta chain 1	Mus musculus	protein_coding_gene	MGI	Ly-3|Ly-C|Lyt-3
Cd8a	CD8 antigen, alpha chain	Mus musculus	protein_coding_gene	MGI	Ly-2|Ly-35|Ly-B|Lyt-2
Cd72	CD72 antigen	Mus musculus	protein_coding_gene	MGI	Ly-19|Ly-32|Lyb-2|Ly-m19
Cd7	CD7 antigen	Mus musculus	protein_coding_gene	MGI	
Cd69	CD69 antigen	Mus musculus	protein_coding_gene	MGI	5830438K24Rik|AIM|VEA
Cd68	CD68 antigen	Mus musculus	protein_coding_gene	MGI	gp110|Lamp4|macrosialin|Scard1
Cd53	CD53 antigen	Mus musculus	protein_coding_gene	MGI	Ox-44|Tspan25
Cd5	CD5 antigen	Mus musculus	protein_coding_gene	MGI	Ly-1|Ly-12|Ly-A|Lyt-1
Myocos	myocilin opposite strand	Mus musculus	protein_coding_gene	MGI	7420461P10Rik
Cyp2c37	cytochrome P450, family 2. subfamily c, polypeptide 37	Mus musculus	protein_coding_gene	MGI	
Tff2	trefoil factor 2 (spasmolytic protein 1)	Mus musculus	protein_coding_gene	MGI	mSP|SP
Lhx6	LIM homeobox protein 6	Mus musculus	protein_coding_gene	MGI	
Itgb1bp1	integrin beta 1 binding protein 1	Mus musculus	protein_coding_gene	MGI	bodenin
Tpte	transmembrane phosphatase with tensin homology	Mus musculus	protein_coding_gene	MGI	Pten2|Vsp
Pcdh8	protocadherin 8	Mus musculus	protein_coding_gene	MGI	1700080P15Rik|Papc
Or4c11c	olfactory receptor family 4 subfamily C member 11C	Mus musculus	protein_coding_gene	MGI	GA_x6K02T2Q125-50304328-50305251|GA_x6K02T2Q125-50336588-50337313|MOR230-1|MOR230-3|Olfr1203|Olfr1205
Klk13	kallikrein related-peptidase 13	Mus musculus	protein_coding_gene	MGI	mGk-13
Cd48	CD48 antigen	Mus musculus	protein_coding_gene	MGI	Bcm-1|BCM1|BLAST-1|Sgp-60
Cd44	CD44 antigen	Mus musculus	protein_coding_gene	MGI	HERMES|Ly-24|Pgp-1
Cd40lg	CD40 ligand	Mus musculus	protein_coding_gene	MGI	CD154|Cd40L|gp39|HIGM1|IMD3|Ly-62|T-BAM|Tnfsf5
Cd40	CD40 antigen	Mus musculus	protein_coding_gene	MGI	Bp50|p50|Tnfrsf5
Cd4	CD4 antigen	Mus musculus	protein_coding_gene	MGI	L3T4|Ly-4
Cd247	CD247 antigen	Mus musculus	protein_coding_gene	MGI	4930549J05Rik|CD3-eta|Cd3h|Cd3z|CD3zeta|CD3 zeta|CD3-zeta|CD3-zeta/eta|T3z|TCRk|Tcrz
Cd3g	CD3 antigen, gamma polypeptide	Mus musculus	protein_coding_gene	MGI	Ctg3|Ctg-3|T3g
Cd3e	CD3 antigen, epsilon polypeptide	Mus musculus	protein_coding_gene	MGI	CD3|CD3epsilon|T3e
Cd3d	CD3 antigen, delta polypeptide	Mus musculus	protein_coding_gene	MGI	T3d
Cd37	CD37 antigen	Mus musculus	protein_coding_gene	MGI	Tspan26
Gm9972	predicted gene 9972	Mus musculus	protein_coding_gene	MGI	
Smc2	structural maintenance of chromosomes 2	Mus musculus	protein_coding_gene	MGI	5730502P04Rik|CAP-E|Fin16|Smc2l1
Ptafr	platelet-activating factor receptor	Mus musculus	protein_coding_gene	MGI	PAFR|PAF receptor
Ppm1g	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform	Mus musculus	protein_coding_gene	MGI	Fin13
Gm10369	predicted gene 10369	Mus musculus	lncRNA_gene	MGI	
Gm10370	predicted gene 10370	Mus musculus	protein_coding_gene	MGI	
Gm16485	predicted gene 16485	Mus musculus	protein_coding_gene	MGI	
Slc2a9	solute carrier family 2 (facilitated glucose transporter), member 9	Mus musculus	protein_coding_gene	MGI	Glut9|SLC2a9A|SLC2A9B
Arhgap4	Rho GTPase activating protein 4	Mus musculus	protein_coding_gene	MGI	A130009C12Rik|A530015A20Rik|c1|Rgc1
Stard7	START domain containing 7	Mus musculus	protein_coding_gene	MGI	
4930558J22Rik	RIKEN cDNA 4930558J22 gene	Mus musculus	lncRNA_gene	MGI	
Cd34	CD34 antigen	Mus musculus	protein_coding_gene	MGI	
Tnfsf8	tumor necrosis factor (ligand) superfamily, member 8	Mus musculus	protein_coding_gene	MGI	CD153|Cd30L|CD30LG
Cd28	CD28 antigen	Mus musculus	protein_coding_gene	MGI	
Cd27	CD27 antigen	Mus musculus	protein_coding_gene	MGI	S152|Tnfrsf7|Tp55
Cd24a	CD24a antigen	Mus musculus	protein_coding_gene	MGI	cluster of differentiation 24|heat stable antigen|HSA|Ly-52|nectadrin
Cd22	CD22 antigen	Mus musculus	protein_coding_gene	MGI	Lyb8|Lyb-8
Ms4a1	membrane-spanning 4-domains, subfamily A, member 1	Mus musculus	protein_coding_gene	MGI	Cd20|Ly-44
Cd2	CD2 antigen	Mus musculus	protein_coding_gene	MGI	LFA-2|Ly37|Ly-37
Cldn25	claudin 25	Mus musculus	protein_coding_gene	MGI	Cldn21|Cldn21-ps|Cldn25-ps
Gm10796	predicted gene 10796	Mus musculus	gene	MGI	
Psmc1	protease (prosome, macropain) 26S subunit, ATPase 1	Mus musculus	protein_coding_gene	MGI	P26s4|rpt2|Rpt2/S4|S4
Vmn1r159	vomeronasal 1 receptor 159	Mus musculus	protein_coding_gene	MGI	Gm16507
Asb10	ankyrin repeat and SOCS box-containing 10	Mus musculus	protein_coding_gene	MGI	Asb-10
Asb7	ankyrin repeat and SOCS box-containing 7	Mus musculus	protein_coding_gene	MGI	Asb-7|D030055C23Rik
H2-Q13	histocompatibility 2, Q region locus 13	Mus musculus	protein_coding_gene	MGI	Q13
Gm13569	predicted gene 13569	Mus musculus	lncRNA_gene	MGI	
Tm6sf1	transmembrane 6 superfamily member 1	Mus musculus	protein_coding_gene	MGI	C630016D09Rik
Kcnh7	potassium voltage-gated channel, subfamily H (eag-related), member 7	Mus musculus	protein_coding_gene	MGI	9330137I11Rik|erg3|Kv11.3
Cep152	centrosomal protein 152	Mus musculus	protein_coding_gene	MGI	
Cilk1	ciliogenesis associated kinase 1	Mus musculus	protein_coding_gene	MGI	2210420N10Rik|Ick
Dzank1	double zinc ribbon and ankyrin repeat domains 1	Mus musculus	protein_coding_gene	MGI	2810039F03Rik|6330439K17Rik|Ankrd64
Cd19	CD19 antigen	Mus musculus	protein_coding_gene	MGI	
Cd14	CD14 antigen	Mus musculus	protein_coding_gene	MGI	
Ccne1	cyclin E1	Mus musculus	protein_coding_gene	MGI	CycE1|cyclin E
Ccnd3	cyclin D3	Mus musculus	protein_coding_gene	MGI	9230106B05Rik
Ccnd2	cyclin D2	Mus musculus	protein_coding_gene	MGI	2600016F06Rik|cD2|Vin1|Vin-1
Ccnd1	cyclin D1	Mus musculus	protein_coding_gene	MGI	bcl-1|cD1|CycD1|Cyl-1|PRAD1
Ccnb2	cyclin B2	Mus musculus	protein_coding_gene	MGI	CycB2
