Gene / product (bioentity_label)	Gene / product (bioentity_name)	Organism (taxon_label)	Type	Source	Synonyms
BC058420	cDNA sequence BC058420	Mus musculus	gene	MGI	
Ltc4s	leukotriene C4 synthase	Mus musculus	protein_coding_gene	MGI	
Fxyd3	FXYD domain-containing ion transport regulator 3	Mus musculus	protein_coding_gene	MGI	Mat8
Prol1	proline rich, lacrimal 1	Mus musculus	protein_coding_gene	MGI	Muc10
Myl7	myosin, light polypeptide 7, regulatory	Mus musculus	protein_coding_gene	MGI	MLC2a|MLC-2alpha|Mylc2a|RLC-A
Slc17a8	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8	Mus musculus	protein_coding_gene	MGI	Vglut3
Rsad1	radical S-adenosyl methionine domain containing 1	Mus musculus	protein_coding_gene	MGI	
Nxph1	neurexophilin 1	Mus musculus	protein_coding_gene	MGI	C130005L03Rik
Fam180a	family with sequence similarity 180, member A	Mus musculus	protein_coding_gene	MGI	
Pdcd4	programmed cell death 4	Mus musculus	protein_coding_gene	MGI	D19Ucla1|MA-3|TIS
Tstd2	thiosulfate sulfurtransferase (rhodanese)-like domain containing 2	Mus musculus	protein_coding_gene	MGI	
Thada	thyroid adenoma associated	Mus musculus	protein_coding_gene	MGI	
BC049762	cDNA sequence BC049762	Mus musculus	protein_coding_gene	MGI	
Tmem126b	transmembrane protein 126B	Mus musculus	protein_coding_gene	MGI	1110001A23Rik
Ssna1	SS nuclear autoantigen 1	Mus musculus	protein_coding_gene	MGI	1110003H09Rik|1190004J23Rik|N14|NA14
Phex	phosphate regulating endopeptidase homolog, X-linked	Mus musculus	protein_coding_gene	MGI	HPDR1
Pxmp2	peroxisomal membrane protein 2	Mus musculus	protein_coding_gene	MGI	22kDa|PMP22
Sec22a	SEC22 homolog A, vesicle trafficking protein	Mus musculus	protein_coding_gene	MGI	1810005C06Rik|Sec22l2
Ralgds	ral guanine nucleotide dissociation stimulator	Mus musculus	protein_coding_gene	MGI	Gnds|Rgds
Vtcn1	V-set domain containing T cell activation inhibitor 1	Mus musculus	protein_coding_gene	MGI	B7-H4|B7x
Rgl2	ral guanine nucleotide dissociation stimulator-like 2	Mus musculus	protein_coding_gene	MGI	KE1.5|Rab2l|Rgt2|Rlf
Znrf3	zinc and ring finger 3	Mus musculus	protein_coding_gene	MGI	LOC382477
BC031181	cDNA sequence BC031181	Mus musculus	protein_coding_gene	MGI	
BC055308	cDNA sequence BC055308	Mus musculus	gene	MGI	
BC059050	cDNA sequence BC059050	Mus musculus	gene	MGI	
BC023202	cDNA sequence BC023202	Mus musculus	gene	MGI	
Krtap6-5	keratin associated protein 6-5	Mus musculus	protein_coding_gene	MGI	1110002D05Rik|Krtap16-8
Stil	Scl/Tal1 interrupting locus	Mus musculus	protein_coding_gene	MGI	Sil
Stim1	stromal interaction molecule 1	Mus musculus	protein_coding_gene	MGI	SIM
Cd38	CD38 antigen	Mus musculus	protein_coding_gene	MGI	Cd38-rs1
Clgn	calmegin	Mus musculus	protein_coding_gene	MGI	4930459O04Rik|A2/6|calnexin-t|Cln
Notch4	notch 4	Mus musculus	protein_coding_gene	MGI	Int3|Int-3|N4
BC053393	cDNA sequence BC053393	Mus musculus	protein_coding_gene	MGI	
BC059841	cDNA sequence BC059841	Mus musculus	gene	MGI	
B3gnt6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 (core 3 synthase)	Mus musculus	protein_coding_gene	MGI	Core3|Core-3
Cd226	CD226 antigen	Mus musculus	protein_coding_gene	MGI	DNAM1|DNAM-1|Pta1|TLiSA1
Zfp941	zinc finger protein 941	Mus musculus	protein_coding_gene	MGI	BC066028
Fbxl19	F-box and leucine-rich repeat protein 19	Mus musculus	protein_coding_gene	MGI	Fbl19
Cdca5	cell division cycle associated 5	Mus musculus	protein_coding_gene	MGI	2610036L13Rik|sororin p35
Ddx55	DEAD box helicase 55	Mus musculus	protein_coding_gene	MGI	2810021H22Rik|DEAD (Asp-Glu-Ala-Asp) box polypeptide 55
Sncaip	synuclein, alpha interacting protein (synphilin)	Mus musculus	protein_coding_gene	MGI	4933427B05Rik|synphilin-1|SYPH1
Tmem39a	transmembrane protein 39a	Mus musculus	protein_coding_gene	MGI	
Rnf115	ring finger protein 115	Mus musculus	protein_coding_gene	MGI	2610028E05Rik|Rabring7|Zfp364
Rab32	RAB32, member RAS oncogene family	Mus musculus	protein_coding_gene	MGI	2810011A17Rik
